id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5;
117;38 avenue de lanessan, champagne-au-mont-d&#39;or;38 avenue de lane;4.793;45.795;38 avenue de lanessan, champagne-au-mont-d'or;;;;
118;16, cours de vincennes, paris;16 cours de vinc;2.4;48.847;16 cours de vincennes, paris;;;;;
119;30 avenue victor hugo, les pavillons-sous-bois;30 avenue victor hu;2.514;48.91;30 avenue victor hugo, les pavillons-sous-bois;30 avenue quesnay, livry-gargan;30 avenue jules guesde, les pavillons-sous-bois;30 avenue marcel sembat, livry-gargan;30 avenue gallieni, livry-gargan;
120;8, place du marché gayot, strasbourg;8 place du marché ga;7.753;48.583;8 place du marche gayot, strasbourg;8 place saint-étienne, strasbourg;8 place des bateliers, strasbourg;8 place de la cathédrale, strasbourg;8 place du marche aux cochons de lait, strasbourg;
121;177 rue sainte-catherine, bordeaux;177 rue sainte-c;-0.573;44.835;177 rue sainte-catherine, bordeaux;;;;;
122;3 rue poissonnière, paris;3 rue poisso;2.348;48.869;3 rue poissonnière, paris;3 rue du faubourg poissonnière, paris;;;;
123;84 avenue secrétan, paris;84 avenue secr;2.378;48.879;84 avenue secretan, paris;84 avenue simón bolívar, paris;;;;
124;43, rue de seine, paris;43 rue de se;2.337;48.855;43 rue de seine, paris;;;;;
125;4 rue pierre leroux, paris;4 rue pierre ler;2.319;48.85;4 rue pierre leroux, paris;;;;;
126;27, route de saint omer, socx;27 route de saint om;2.421;50.934;27 route de saint-omer, socx;;;;;
127;8, rue jean burguet, bordeaux;8 rue jean bur;-0.578;44.834;8 rue jean burguet, bordeaux;;;;;
128;12 rue bourgeot, l&#39;haÿ-les-roses;12 rue bour;2.336;48.779;12 rue bourgeot, l'haÿ-les-roses;;;;
129;restaurant, montclus; resta;4.441;44.263;;;;;;
130;12 rue de charonne, paris;12 rue de char;2.374;48.852;12 rue de charenton, paris;12 rue de charonne, paris;;;;
131;41, rue de la rochefoucauld, paris;41 rue de la rochef;2.335;48.88;41 rue de la rochefoucauld, paris;;;;;
132;12 rue piliers de tutelle, bordeaux;12 rue piliers de tut;-0.574;44.841;12 rue piliers de tutelle, bordeaux;;;;;
133;3 rue charles vii, nogent-sur-marne;3 rue charles v;2.486;48.837;3 rue charles vii, nogent-sur-marne;;;;;
134;175 grande rue charles de gaulles, nogent-sur-marne;175 grande rue charles de gau;2.481;48.836;;;;;;
135;26, avenue des champs elysées, paris;26 avenue des champs ely;2.309;48.869;26 avenue montaigne, paris;26 avenue des champs élysées, paris;26 avenue franklin delano roosevelt, paris;;;
136;4 boulevard de port-royal, paris;4 boulevard de port-;2.351;48.837;4 boulevard de port-royal, paris;4 boulevard arago, paris;;;;
137;25 rue jeanne d'arc, saint-quay-portrieux;25 rue jeanne d';-2.838;48.654;25 rue jeanne d'arc, portrieux;;;;;
138;19 rue georges clemenceau, saint-quay-portrieux;19 rue georges cleme;-2.829;48.647;19 rue georges clemenceau, portrieux;;;;;
139;route de murs, null gordes;route de mu;5.203;43.92;5189 route de murs, undefined;5809 route de murs, gordes;6844 route de murs, gordes;5191 route de murs, gordes;5193 route de murs, gordes;
140;118 rue véron, alfortville;118 rue vé;2.415;48.808;118 rue véron, alfortville;;;;;
141;12, quai marc seguin, tournon-sur-rhône;12 quai marc seg;4.834;45.068;12 quai marc seguin, tournon-sur-rhône;;;;;
142;1 rue pierre brossolette, le plessis-bouchard;1 rue pierre bross;2.236;49.001;1 rue pierre brossolette, le plessis-bouchard;;;;;
143;25, place de bethune, lille;25 place de bet;3.062;50.633;25 place de béthune, lille;25 place jacquart, lille;25 place rihour, lille;25 place du général de gaulle, lille;25 place du théâtre, lille;
144;3 avenue de la république, paris;3 avenue de la répub;2.367;48.867;3 avenue de la république, paris;;;;;
145;3212 chemin de tanvol, viriat;3212 chemin de tan;5.265;46.24;3212 chemin de tanvol, undefined;;;;;
146;61, rue des trois frères, paris;61 rue des trois frè;2.338;48.886;;;;;;
147;52 rue de genève, ferney-voltaire;52 rue de gen;6.115;46.253;52 rue de genève, ferney-voltaire;52 rue de geneve, ferney-voltaire;;;;
148;caillau, vire-sur-lot; cai;1.101;44.48;5946 le caillau, undefined;5170 le caillau, undefined;5077 le caillau, undefined;5134 le caillau, undefined;5197 le caillau, undefined;
149;18 rue de paris, charenton-le-pont;18 rue de pa;2.419;48.819;18 rue de paris, charenton-le-pont;;;;;
150;place diana, la grande-motte;place di;4.091;43.557;38 place diana, la grande-motte;47 place diana, la grande-motte;43 place diana, la grande-motte;51 place diana, la grande-motte;39 place diana, la grande-motte;
151;28 rue kuhn, strasbourg;28 rue ku;7.737;48.585;28 rue kuhn, strasbourg;;;;;
152;9 place du concert, lille;9 place du con;3.061;50.642;9 place du concert, lille;9 place saint-joseph, lille;9 place louise de bettignies, lille;9 place du lion d'or, lille;9 place des patiniers, lille;
153;10 rue brochant, paris;10 rue broc;2.318;48.888;10 rue brochant, paris;;;;;
154;103 rue la boétie, paris;103 rue la boé;2.307;48.871;103 rue la boétie, paris;;;;;
155;79 rue saint-dominique, paris;79 rue saint-d;2.309;48.86;79 rue saint-dominique, paris;;;;;
156;1 place des marronniers, montbazon;1 place des marro;0.713;47.287;1 place des marronniers, montbazon;1 place andré delaunay, montbazon;1 place des anciens combattants, montbazon;;;
157;33 rue guersant, paris;33 rue guer;2.289;48.882;33 rue guersant, paris;;;;;
158;6 boulevard du général de gaulle, draveil;6 boulevard du général de gau;2.392;48.688;6 boulevard du général de gaulle, montgeron;;;;;
159;17 avenue du bel air, paris;17 avenue du bel a;2.397;48.846;17 avenue du bel-air, paris;17 avenue de saint-mandé, paris;17 avenue de taillebourg, paris;17 avenue philippe-auguste, paris;;
160;avenue eugène donadeï, saint-laurent-du-var;avenue eugène don;7.195;43.66;180 avenue eugène donadei, saint-laurent-du-var;188 avenue eugène donadei, saint-laurent-du-var;135 avenue eugène donadei, saint-laurent-du-var;194 avenue eugène donadei, saint-laurent-du-var;120 avenue eugène donadei, saint-laurent-du-var;
161;12 rue neuve, lyon, france, lyon;12 rue neuve lyon, fra;4.835;45.765;;;;;;
162;10, route d'etrez, montrevel-en-bresse;10 route d'e;5.13;46.336;10 route d'étrez, montrevel-en-bresse;10 route de bourg, montrevel-en-bresse;;;;
163;22 rue merigonde, castres;22 rue meri;2.254;43.602;22 rue merigonde, castres;;;;;
164;10 allée des tullistes, écully;10 allée des tull;4.779;45.775;10 allée des tullistes, écully;;;;;
165;4 rue jacques manuel, perpignan;4 rue jacques man;2.895;42.7;4 rue jacques manuel, perpignan;;;;;
166;85 avenue kléber, paris;85 avenue klé;2.289;48.864;85 avenue kléber, paris;85 avenue kléber, paris;85 avenue raymond poincaré, paris;;;
167;5, avenue villermont, nice;5 avenue ville;7.265;43.709;5 avenue villermont, nice;5 avenue du général hoche, nice;5 avenue mirabeau, nice;5 bis avenue mirabeau, nice;5 avenue georges v, nice;
168;74 quai des orfèvres, paris;74 quai des orfè;2.342;48.857;74 quai des orfèvres, paris;;;;;
169;81, rue de rochechouart, paris;81 rue de rochec;2.347;48.882;81 rue de rochechouart, paris;;;;;
170;113, grande rue de la guillotière, lyon;113 grande rue de la guill;4.848;45.751;113 grande rue de la guillotière, lyon;;;;;
171;10, rue des verriers, lyon;10 rue des verr;4.837;45.743;10 rue des verriers, lyon;;;;;
172;15 boulevard denys puech, rodez;15 boulevard denys pu;2.578;44.35;15 boulevard denys puech, rodez;15 boulevard denys puech, le monastère;15 boulevard de la république, rodez;15 boulevard flaugergues, le monastère;15 boulevard belle isle, rodez;
173;45 espl. du maréchal leclerc, ardres;45 espl. du maréchal lec;1.978;50.853;45 esplanade du maréchal leclerc, ardres;;;;;
174;le jarier d'ancenis - d723, ancenis;le jarier d'ancenis - d7;-1.141;47.378;;;;;;
175;27 rue richer, paris;27 rue ric;2.345;48.874;27 rue richer, paris;;;;;
176;2a, route de lyon, brignais;2a route de ly;4.771;45.678;;;;;;
177;45/47, rue albert rémy, ris-orangis;45/47 rue albert ré;2.408;48.657;;;;;;
178;9 avenue du général de gaulle, vélizy-villacoublay;9 avenue du général de gau;2.184;48.785;9 avenue du général de gaulle, vélizy-villacoublay;9 avenue roland garros, vélizy-villacoublay;9/11 avenue louis breguet, vélizy-villacoublay;;;
179;2, place saint germain, sully-sur-loire;2 place saint ger;2.368;47.767;2 place saint-germain, sully-sur-loire;;;;;
180;le guiben, camors;le gui;-3.01;47.8;5803 le guiben, undefined;6839 le guiben, undefined;;;;
181;11b rue massenet, nice;11b rue mass;7.264;43.696;11b rue massenet, nice;;;;;
182;place auguste baret, châteauneuf-le-rouge;place auguste ba;5.567;43.489;5467 place auguste baret, châteauneuf-le-rouge;;;;;
183;17 place de l hôtel de ville, tournus;17 place de l hôtel de vi;4.912;46.562;17 place de l'hôtel de ville, tournus;17 place du champ de mars, tournus;;;;
184;7 allée des marettes, bourgoin-jallieu;7 allée des mare;5.278;45.585;7 allée des marettes, bourgoin-jallieu;;;;;
185;49 cours marc-antoine brillier, vienne;49 cours marc-antoine bril;4.873;45.522;;;;;;
186;16 rue sedaine, paris;16 rue sed;2.372;48.856;16 rue sedaine, paris;;;;;
187;11, faubourg saint-michel, guérande;11 faubourg saint-;-2.426;47.327;11 faubourg saint-michel, guérande;11 faubourg saint-armel, guérande;;;;
188;22 rue pairolière, nice;22 rue pairo;7.279;43.7;22 rue pairolière, nice;;;;;
189;22, rue de ribosi domaine des duc, léguevin;22 rue de ribosi domaine des d;1.257;43.603;;;;;;
190;37, rue malar, paris;37 rue ma;2.306;48.86;37 rue malar, paris;37 rue du champ de mars, paris;;;;
191;45 rue saint-charles, toulouse;45 rue saint-;1.442;43.61;45 rue saint-charles, toulouse;;;;;
192;rue intérieure, paris;rue intér;2.326;48.876;1 rue intérieure, paris;3 rue intérieure, paris;5 rue intérieure, paris;9001 rue intérieure, paris;9004 rue intérieure, paris;
193;16 rue de tolbiac, paris;16 rue de tol;2.375;48.83;16 rue de tolbiac, paris;;;;;
194;quai la pérouse, saint-laurent-du-var;quai la pér;7.183;43.657;0 quai la pérouse, saint-laurent-du-var;;;;;
195;93 rue de la victoire, paris;93 rue de la vict;2.331;48.875;93 rue de la victoire, paris;;;;;
196;31 avenue george v, paris;31 avenue george ;2.3;48.869;31 avenue george v, paris;31 avenue marceau, paris;31 avenue pierre 1er de serbie, paris;;;
197;85, rue saint antoine, paris;85 rue saint ant;2.363;48.854;85 rue saint-antoine, paris;;;;;
198;8 rue du plan d'agde, montpellier;8 rue du plan d'a;3.876;43.608;8 rue du plan d'agde, montpellier;;;;;
199;21 rue de l'horloge, riom;21 rue de l'ho;3.114;45.895;21 rue de l'horloge, riom;;;;;
200;99 rue de la pompe, paris;99 rue de la po;2.278;48.865;99 rue de la pompe, paris;;;;;
201;rue de l'ouest, le cannet;rue de l'o;7.013;43.573;7 rue de l'ouest, le cannet;5 rue de l'ouest, le cannet;4 rue de l'ouest, le cannet;3 rue de l'ouest, le cannet;2 rue de l'ouest, le cannet;
202;78, rue rue haute saint maurice, chinon;78 rue rue haute saint mau;0.24;47.167;;;;;;
203;68 bis, avenue jean moulin, paris;68 bis avenue jean mou;2.32;48.825;68 bis avenue jean moulin, paris;;;;;
204;104 rue de charonne, paris;104 rue de char;2.385;48.854;104 rue de charonne, paris;;;;;
205;1 plage de l'estaque, marseille;1 plage de l'es;5.317;43.36;;;;;;
206;6 rue victor hugo, pantin;6 rue victor hu;2.402;48.895;6 rue victor hugo, pantin;;;;;
207;2 rue saint-michel, nancy;2 rue saint-;6.179;48.697;2 rue saint-michel, nancy;2 rue saint-epvre, nancy;2 rue saint-dizier, nancy;2 rue saint-fiacre, nancy;;
208;20 avenue de la fossé des pressoirs, magny-le-hongre;20 avenue de la fossé des pres;2.807;48.871;20 avenue de la fosse des pressoirs, magny-le-hongre;20 avenue de la fosse des pressoirs, magny-le-hongre;;;;
209;31 avenue jean bart, carry-le-rouet;31 avenue jean ba;5.172;43.334;31 avenue jean bart, sausset-les-pins;31 avenue rené cassin, sausset-les-pins;;;;
210;41, rue dauphine, paris;41 rue daup;2.339;48.854;41 rue dauphine, paris;;;;;
212;1, avenue édouard vii, pau;1 avenue édouard v;-0.359;43.297;1 avenue édouard vii, pau;1 avenue des états-unis, pau;1 avenue san carlos, pau;1 avenue nitot, pau;1 avenue léon say, pau;
213;3, boulevard du maréchal de lattre de tassigny, saumur;3 boulevard du maréchal de lattre de tass;-0.089;47.262;;;;;;
214;24, rue de cotte, paris;24 rue de co;2.378;48.85;24 rue de cotte, paris;;;;;
215;9, avenue du drapeau, dijon;9 avenue du dra;5.044;47.331;9 avenue du drapeau, dijon;9 avenue garibaldi, dijon;9 avenue aristide briand, dijon;;;
216;3 rue de l'isly, paris;3 rue de l'i;2.326;48.875;3 rue de l'isly, paris;3 rue de liege, paris;3 rue de liège, paris;;;
217;5 rue guy de maupassant, yvetot;5 rue guy de maupa;0.753;49.618;5 rue guy de maupassant, yvetot;;;;;
218;le bourg, vézac;le bo;1.164;44.836;;;;;;
219;9 quai du lazaret, marseille;9 quai du laz;5.365;43.306;9 quai du lazaret, marseille;;;;;
220;36 boulevard de la gare, saint-gratien;36 boulevard de la ga;2.285;48.964;36 boulevard de la gare, saint-gratien;;;;;
221;96 route du polygone, strasbourg;96 route du poly;7.759;48.566;96 route du polygone, strasbourg;;;;;
222;9 rue denoyez, paris;9 rue den;2.378;48.871;9 rue dénoyez, paris;;;;;
223;74 rue de france, nice;74 rue de fra;7.255;43.695;74 rue de france, nice;;;;;
224;11, passage central, mulhouse;11 passage cen;7.341;47.748;11 passage central, mulhouse;;;;;
