address;city;postal_code;gps_lat;gps_long
13 Rue Kervégan;Nantes;44000;47,2127161;-1,5555351
11 Quai Turenne;Nantes;44000;47,21232;-1,5560659
4 Cours Olivier de Clisson;Nantes;44000;47,2132171;-1,5549453
6 Route de Vannes;Nantes;44300;47,2330067;-1,5776949
14 Rue Beauregard;Nantes;44000;47,214933;-1,5554688
4 Rue Emile Masson;Nantes;44000;47,2140056;-1,5462644
2 Rue du Refuge;Nantes;44000;47,2187145;-1,5521949
6 Place Eugène Livet;Nantes;44000;47,2111973;-1,5674723
92 Rue Saint-Jacques;Nantes;44200;47,1960638;-1,5379466
13 Rue Kervégan;Nantes;44000;47,2127161;-1,5555351
Quai Henri Barbusse;Nantes;44000;47,2245502;-1,5527964
87 Rue Maréchal Joffre;Nantes;44000;47,2201649;-1,5489329
7, Allée Des Tanneurs - Cours Des 50 Otages;Nantes;44000;47,2189932;-1,5577956
40 Rue Préfet Bonnefoy;Nantes;44000;47,2227121;-1,5482509
26 Rue des Petites Écuries;Nantes;44000;47,2155261;-1,5523792
3 Allée d'erdre;Nantes;44000;47,219287;-1,5556296
1 Rue Louis Blanc;Nantes;44200;47,2071744;-1,5548627
4 Place Marc Elder;Nantes;44000;47,2155761;-1,5490891
15 Rue Jean Jacques Rousseau;Nantes;44000;47,2127795;-1,5615685
3 Rue Racine;Nantes;44000;47,213392;-1,5631415
3 Rue Racine;Nantes;44000;47,213392;-1,5631415
3 Rue Racine;Nantes;44000;47,213392;-1,5631415
5 Rue Sainte-Catherine;Nantes;44000;47,2141622;-1,5563763
2 Allée Duguay Trouin;Nantes;44000;47,2138295;-1,554171
2 Rue Grétry;Nantes;44000;47,2133095;-1,5607976
35 Rue Crucy;Nantes;44000;47,2128584;-1,5499987
6 Rue des Petites Écuries;Nantes;44000;47,215017;-1,552227
43 Boulevard Pasteur;Nantes;44100;47,2130117;-1,5825624
10 Boulevard de la Prairie au Duc;Nantes;44200;47,2052321;-1,5561914
4 rue Leon Maitre;Nantes;44000;47,21395073;-1,55309999
10, Côte Saint Sébastien;Nantes;44200;47,20124;-1,53174
1 place Aristide Briand;Nantes;44000;47,21741503;-1,562420011
155, route de Gachet;Nantes;44300;47,29363438;-1,526819944
4, place Saint-Pierre;Nantes;44000;47,21836592;-1,551290035
17, rue Voltaire;Nantes;44000;47,21204877;-1,565520048
8, rue de la Juiverie;Nantes;44000;47,21564793;-1,552899957
10, quai de la Jonelière;Nantes;44000;47,25367161;-1,540310025
9 rue saint-pierre;Nantes;44000;47,2175395;-1,5514909
5, cours Olivier de Clisson;Nantes;44000;47,21362424;-1,554049969
12, allée des Tanneurs;Nantes;44000;47,21917947;-1,556800008
1 bis, cours Olivier de Clisson;Nantes;44000;47,2138134;-1,554909945
12, rue Beauregard;Nantes;44000;47,21483172;-1,555369973
7, rue Armand Brossard;Nantes;44000;47,21707301;-1,55629003
2, boulevard Pierre Koenig;Nantes;44100;47,19784928;-1,606690049
4 bis, rue du Chapeau Rouge;Nantes;44000;47,21496905;-1,561310053
3 bis, rue Santeuil;Nantes;44000;47,21320187;-1,560310006
1, place du Commandant Cousteau;Nantes;44300;47,24002715;-1,513470054
8, allée Baco;Nantes;44000;47,21422021;-1,548769951
24, rue Jean-Jaurès;Nantes;44000;47,21836592;-1,561630011
88, quai de la fosse;Nantes;44000;47,20817467;-1,569869995
18, rue Armand Brossard;Nantes;44000;47,21775445;-1,556310058
15 rue de Strasbourg;Nantes;44000;47,21632679;-1,551440001
2 bis, rue Fenelon;Nantes;44000;47,21721033;-1,553789973
3, allée de l'Erdre;Nantes;44000;47,21931679;-1,555909991
1 bis, rue Camille Berruyer;Nantes;44000;47,21503642;-1,563539982
1, place des Fonderies;Nantes;44200;47,20620512;-1,545789957
30, rue Fouré;Nantes;44000;47,21218351;-1,546700001
6, rue Cacault;Nantes;44000;47,21625942;-1,55783999
4, rue de Colmar;Nantes;44000;47,2119788;-1,546190023
29, rue Fouré;Nantes;44000;47,2115046;-1,546869993
41, boulevard Gustave Roch;Nantes;44200;47,20274009;-1,552929997
14, boulevard Joliot Curie;Nantes;44200;47,19526761;-1,534950018
27, rue Fouré;Nantes;44000;47,21163934;-1,546830058
87, rue du Maréchal Joffre;Nantes;44000;47,2201977;-1,54903996
Boulevard du Général de Gaulle;Nantes;44200;47,20539137;-1,538560033
13, rue Beauregard;Nantes;44000;47,21483172;-1,555420041
21, rue Jean Jaurès;Nantes;44000;47,21884006;-1,560930014
45, rue du Maréchal Joffre;Nantes;44000;47,22135322;-1,547770023
1, rue Léon Blum;Nantes;44000;47,21884006;-1,555199981
57, quai de la Fosse;Nantes;44000;47,20987464;-1,56438005
4, allée d'Erdre - Cours des 50 Otages;Nantes;44000;47,21924684;-1,556020021
28, rue Léon Jamin;Nantes;44000;47,21931679;-1,559139967
4, rue Lamoricière;Nantes;44100;47,21096042;-1,570819974
2, rue Mayence;Nantes;44000;47,2124556;-1,546239972
14, rue Léon Blum;Nantes;44000;47,21945152;-1,554780006
5 Rue de l'Hermitage;Nantes;44100;47,2063198;-1,5740658
7, rue Saint Denis;Nantes;44000;47,21809387;-1,552049994
11, rue d'Erlon;Nantes;44000;47,21802391;-1,562569976
1, rue Montesquieu;Nantes;44000;47,21306713;-1,565729976
Angle de la rue du Vieil Hôpital et de la Bléterie;Nantes;44000;47,21503642;-1,554810047
10, place Viarme;Nantes;44000;47,2208765;-1,561929941
4, rue Santeuil;Nantes;44000;47,21272768;-1,560289979
11 bis, rue de la Bastille;Nantes;44000;47,21850065;-1,565320015
24, rue des Olivettes;Nantes;44000;47,21055358;-1,549209952
11, rue Kervegan;Nantes;44000;47,21299976;-1,555050015
2, rue Santeuil;Nantes;44000;47,2126603;-1,56020999
1 Place Aristide Briand;Nantes;44000;47,21734507;-1,562340021
22, rue Armand Brossard;Nantes;44000;47,21788918;-1,55625999
41, quai de la Fosse;Nantes;44000;47,21062096;-1,56280005
1 bis, rue Kervégan;Nantes;44000;47,21388077;-1,553159952
3, rue de l'Émery;Nantes;44000;47,21578266;-1,551579952
14, rue Armand Brossard;Nantes;44000;47,21748;-1,55631
NULL;Nantes;44000;0;0
2, rue du Roi Albert;Nantes;44000;47,21870533;-1,551040053
1, rue du Cheval Blanc;Nantes;44000;47,21714297;-1,556339979
1, Quai de Turenne;Nantes;44000;47,21340658;-1,552839994
9, allée Duquesne;Nantes;44000;47,21802391;-1,556910038
3 Route de Rennes;Nantes;44300;47,2475839;-1,5775149
15, rue Coulmiers;Nantes;44000;47,22080914;-1,534600019
18, rue d'Alger;Nantes;44100;47,21028149;-1,568429947
2, place de la Bourse;Nantes;44000;47,21306713;-1,558979988
3, rue de Valmy;Nantes;44000;47,21340658;-1,54437995
15, boulevard Alexandre Millerand;Nantes;44200;47,20647724;-1,528679967
NULL;Nantes;44200;0;0
15, rue Kervegan;Nantes;44000;47,21259034;-1,555570006
NULL;Nantes;44000;0;0
4, rue Santeuil;Nantes;44000;47,21272768;-1,560340047
10, rue Franklin;Nantes;44000;47,21429017;-1,563120008
16, boulevard Emile Gabory;Nantes;44200;47,19635369;-1,530699968
12 rue jean jacques rousseau;Nantes;44000;0;0
15 Rue Jean Jacques Rousseau;Nantes;44100;0;0
6 place alfred lallié;Nantes;44000;0;0
13, Rue des Halles;Nantes;44000;0;0
2, rue des Carmes;Nantes;44000;0;0
Avenue du Bout des Landes;Nantes;44000;0;0
2 RUE DU REFUGE;Nantes;44000;0;0
2 Rue de la Biscuiterie;Nantes;44000;0;0
10 rue des olivettes;Nantes;44000;0;0
32 rue léon jamin;Nantes;44000;0;0
3 mail Front Populaire;Nantes;44200;47,22794126;-1,541669965
7, place de la République;Nantes;44200;47,20491;-1,55488
7, place de la République;Nantes;44200;47,20491451;-1,554880023
7 rue Voltaire;Nantes;44000;47,21231826;-1,564180017
15, rue de Bel Air;Nantes;44000;47,22128586;-1,559190035
23 rue st leonard;Nantes;44000;0;0
1, rue du bénélux;Nantes;44300;0;0
1, rue du bénélux;Nantes;44300;0;0
24 rue Paul Bellamy;Nantes;44000;47,22209937;-1,556280017
285 reerzh;Nantes;44000;0;0
14 Rue Louis Blanc;Nantes;44200;0;0
5 rue du docteur Zamenhof;Nantes;44200;0;0
4 rue lebrun - quartier Joffre Cathédrale;Nantes;44000;0;0
4 rue Emile Masson;Nantes;44000;0;0
4, Rue Porte Neuve;Nantes;44000;0;0
4 rue du chapeau rouge;Nantes;44000;0;0
100, rue des hauts pavés;Nantes;44000;0;0
6 rue Saint Nicolas;Nantes;44000;0;0
12 rue de mayence;Nantes;44000;0;0
4, rue Santeuil;Nantes;44000;47,21273;-1,56027
5, square Fleuriot de l'Angle;Nantes;44000;0;0
1 place royale;Nantes;44000;0;0
1 bis rue kervegan;Nantes;44000;0;0
8 rue Félibien;Nantes;44000;0;0
1 place royale;Nantes;44000;0;0
6, place Aristide Briand;Nantes;44000;47,21748;-1,56288
14 rue leon blum;Nantes;44000;0;0
6, route de Paris - Rue Grandjouan;Nantes;44300;47,24980314;-1,519350052
13 Boulevard Babin Chevaye;Nantes;44200;0;0
2 rue de la Bastille;Nantes;44000;0;0
22 quai ernest renaud;Nantes;44000;0;0
2 Bd de Launay;Nantes;44100;0;0
11 quai Turenne;Nantes;44000;0;0
5 Rue Baron;Nantes;44000;47,2112065;-1,5476342
19 Quai de Versailles;Nantes;44000;0;0
59 rue de bel air;Nantes;44000;0;0
20 RUE KERVEGAN;Nantes;44000;0;0
2 rue Suffren;Nantes;44000;47,21279505;-1,561159968
11 rue Saint Léonard;Nantes;44000;0;0
15 rue Beauregard;Nantes;44000;47,21483172;-1,555449963
36, rue Fouré;Nantes;44000;47,21177668;-1,54689002
7, rue Bossuet;Nantes;44000;47,21712224;-1,555119991
2, rue Armand Brossard;Nantes;44000;47,21714297;-1,556120038
54, rue Foure;Nantes;44000;47,21041624;-1,547250032
4, rue Fenelon;Nantes;44000;47,21714297;-1,554260015
14, rue Saint Léonard;Nantes;44000;47,2172777;-1,555490017
18, rue de Richebourg;Nantes;44000;47,21775445;-1,545449972
4, Cours Olivier de Clisson;Nantes;44000;47,21316819;-1,554780006
4, rue Charles Brunelliere;Nantes;44000;47,20905835;-1,568359971
22, rue Armand Brossard;Nantes;44000;47,21788141;-1,556249976
2, rue Laennec;Nantes;44000;47,2124556;-1,548020005
125, boulevard des Poilus;Nantes;44000;47,2331;-1,53279
11, rue de Bel Air;Nantes;44000;47,21788918;-1,556249976
10, rue Baclerie;Nantes;44000;47,21524112;-1,553349972
8 bis, Quai Francois Mitterrand;Nantes;44200;47,20750348;-1,556890011
3 rue edouard nignon;Nantes;44300;0;0
route de pins;Nantes;44000;0;0
11 rue de la Juiverie;Nantes;44000;0;0
14, rue Jemmapes;Nantes;44000;47,213;-1,54643
28 Place Viarme;Nantes;44000;0;0
9, rue Ste Croix;Nantes;44000;47,21551;-1,55382
14, rue du Chateau;Nantes;44000;47,21625942;-1,552489996
1, rue Vieilles Douves;Nantes;44000;47,21456224;-1,559139967
17, rue Bel Air;Nantes;44000;47,26093393;-0,641939998
6, rue de la Juiverie;Nantes;44000;47,21564793;-1,552929997
7, allée Jacques Berque;Nantes;44000;47,21211614;-1,538310051
6, rue Jean Jacques Rousseau;Nantes;44000;47,21238822;-1,560089946
16, rue des Petites Ecuries;Nantes;44000;47,21537586;-1,552379966
1, rue Sainte-Croix;Nantes;44000;47,21551319;-1,554170012
15, rue des petites écuries;Nantes;44000;47,21537586;-1,552459955
6, rue des Petites Ecuries;Nantes;44000;47,21504;-1,55223
6 rue Beauregard;Nantes;44000;0;0
28, rue Kervégan;Nantes;44000;47,2124556;-1,556540012
11, rue Léon Blum;Nantes;44000;47,21897479;-1,555189967
11, rue Fouré;Nantes;44000;47,21326924;-1,546339989
2, rue des Chapeliers;Nantes;44000;47,21591999;-1,55250001
4 allée Flesselles;Nantes;44000;0;0
2, allée Duguay Trouin;Nantes;44000;47,21388077;-1,554149985
4, place Graslin;Nantes;44000;47,2126603;-1,561120033
3, rue Guérande;Nantes;44000;47,21408547;-1,558979988
26, rue Scribe;Nantes;44000;47,2140181;-1,562749982
2, rue de la Juiverie;Nantes;44000;47,21578266;-1,552600026
11, rue de l'Heronniere;Nantes;44000;47,21184406;-1,561980009
1, rue Lefèvre Utile;Nantes;44000;47,21442491;-1,543679953
50-51, quai Malakoff;Nantes;44000;47,21442491;-1,543679953
4 Rue de Colmar;Nantes;44000;47,2120856;-1,5464555
2 Rue Paul Bellamy;Nantes;44000;47,2207604;-1,5551438
8, rue Paul Bellamy;Nantes;44000;47,22108118;-1,555490017
10, rue Armand Brossard;Nantes;44000;47,21700564;-1,55625999
10, quai de la Jonelière;Nantes;44300;47,25373893;-1,540449977
26, rue des petites Ecuries;Nantes;44000;47,21558056;-1,55242002
13, rue Kervégan;Nantes;44000;47,21328997;-1,555549979
143, rue Paul Bellamy;Nantes;44000;47,22895932;-1,562450051
14, rue Saint-Léonard;Nantes;44000;47,2172777;-1,555490017
5, place de la Duchesse Anne;Nantes;44000;47,21694;-1,54721
8, rue Jean-Jacques Rousseau;Nantes;44000;47,21259034;-1,560539961
10, allée Dusquene;Nantes;44000;47,21836592;-1,556920052
2, rue Prémion;Nantes;44000;47,21714297;-1,549780011
4, rue Kléber;Nantes;44000;47,21361128;-1,565400004
40 bis, rue Fouré;Nantes;44000;47,21157197;-1,546919942
2, rue Racine;Nantes;44000;47,21333921;-1,562600017
95, quai Fosse;Nantes;44000;47,20797254;-1,57088995
7, place eugene livet;Nantes;44000;47,21136726;-1,567430019
14, rue Beauregard;Nantes;44000;47,21483172;-1,555439949
4, place de la Bourse;Nantes;44000;47,21279505;-1,559159994
23 bis, rue Racine;Nantes;44000;47,21422021;-1,565199971
1, place Saint-Vincent;Nantes;44000;47,21741503;-1,553279996
13, rue Armand Brossard;Nantes;44000;47,21809387;-1,556310058
33, rue de Rieux;Nantes;44000;47,21055358;-1,546200037
5 Place de la Bourse;Nantes;44000;47,2127705;-1,559224
174, boulevard des Poilus;Nantes;44300;47,2339172;-1,535570025
2, rue de Jemmapes;Nantes;44000;47,21326924;-1,54531002
5, rue Santeuil;Nantes;44000;47,21340658;-1,560379982
10 Rue de Hôtel de Ville;Nantes;44000;47,2178677;-1,5568224
1, rue Olympe de Gouges;Nantes;44000;47,20708884;-1,560420036
1, boulevard Martyrs Nantais;Nantes;44000;47,20695149;-1,54847002
19, rue de la Juiverie;Nantes;44000;47,21551319;-1,553429961
11 quai turenne;Nantes;44000;0;0
6, rue Cacault;Nantes;44000;47,21639416;-1,557850003
6 Allée d'Erdre;Nantes;44000;47,219418;-1,5554994
14 Rue Capitaine Corhumel;Nantes;44000;47,2191509;-1,5624802
40 Rue Fouré;Nantes;44000;47,2116048;-1,5470162
4 Rue des Trois Croissants;Nantes;44000;47,216883;-1,5548713
2 Rue de Jemmapes;Nantes;44000;0;0
29 Chaussée de la Madeleine;Nantes;44000;0;0
4 Rue des Hauts Pavés;Nantes;44000;47,2221989;-1,5623378
10 Rue Armand Brossard;Nantes;44000;47,2170292;-1,5562574
162 Route de Vertou;Nantes;44200;0;0
7 Rue Armand Brossard;Nantes;44000;47,2175209;-1,5563797
15 Rue de Strasbourg;Nantes;44000;47,2166642;-1,5518114
6 Rue Saint-Nicolas;Nantes;44000;47,2152096;-1,557149
12 Rue de Bel air;Nantes;44000;47,2212158;-1,5589819
12 Rue de Bel air;Nantes;44000;47,2212158;-1,5589819
1 Chaussée de la Madeleine;Nantes;44000;47,2122655;-1,5524583
15 Rue de Coulmiers;Nantes;44000;47,2207245;-1,5354692
"18 Rue d'Allemagne";Nantes;44300;47,2548308;-1,4979421
57 Boulevard Gabriel Lauriol;Nantes;44300;47,2393278;-1,5616466
"15 Rue la Tour d'Auvergne";Nantes;44200;47,2064394;-1,5543739
"47 Rue la Tour d'Auvergne";Nantes;44200;47,2057288;-1,5612604
41 Rue Bougainville;Nantes;44100;47,1982164;-1,585401
Route de Gachet;Nantes;44300;47,2851552;-1,5204601
24 Rue Jean Jaurès;Nantes;44000;47,2184319;-1,561753
20 Rue Kervégan;Nantes;44000;47,2130494;-1,5555827
88 Quai de la Fosse;Nantes;44100;47,208411;-1,5698457
14 Rue Beauregard;Nantes;44000;47,214933;-1,5554688
1 Place Royale;Nantes;44000;47,2143863;-1,5578707
6 Rue de l'Héronnière;Nantes;44000;47,2121876;-1,5618567
18 Rue des Petites Écuries;Nantes;44000;47,2153801;-1,5523349
14 Rue Saint-Léonard;Nantes;44000;47,2171688;-1,5554337
13 Place du Pilori;Nantes;44000;47,2160915;-1,5529812
13 Place du Pilori;Nantes;44000;47,2160915;-1,5529812
13 Place du Pilori;Nantes;44000;47,2160915;-1,5529812
31 Rue Fouré;Nantes;44000;47,2115525;-1,546592
63 Rue de Bel air;Nantes;44000;47,2241832;-1,5593371
4 Rue du Chapeau Rouge;Nantes;44000;47,2151927;-1,5597282
2 Place Ste Elisabeth;Nantes;44000;47,2192048;-1,5619894
12 Rue Beauregard;Nantes;44000;47,2149303;-1,5552702
108 Rue Saint-Jacques;Nantes;44200;47,1959181;-1,5374421
Rue Crucy;Nantes;44000;47,2139538;-1,5483933
16 Rue Saint-Léonard;Nantes;44000;47,2173461;-1,5554515
15 Rue Crébillon;Nantes;44000;47,2135896;-1,5606482
45 Rue Léon Jamin;Nantes;44000;47,2198729;-1,5593308
2 Place Ste Elisabeth;Nantes;44000;47,2192048;-1,5619894
1 Rue Montesquieu;Nantes;44000;47,2129958;-1,5656312
14 bis Rue Talensac;Nantes;44000;47,2214479;-1,557455
23 Rue du Bois Briand;Nantes;44300;47,2516418;-1,4999231
5 Cours Olivier de Clisson;Nantes;44000;47,2131828;-1,5541291
35 Rue Crucy;Nantes;44000;47,2128584;-1,5499987
10 Quai de la Jonelière;Nantes;44300;47,2535187;-1,5404891
13 Allée du Port Maillard;Nantes;44000;47,2147726;-1,5526132
1 Rue Mercœur;Nantes;44000;47,2170673;-1,5597548
6 Rue Maisdon Pajot;Nantes;44100;47,2149338;-1,5855733
21 Rue Jean Jaurès;Nantes;44000;47,2187137;-1,5609535
35 Rue Crucy;Nantes;44000;47,2128584;-1,5499987
35 Rue Crucy;Nantes;44000;47,2128584;-1,5499987
35 Rue Crucy;Nantes;44000;47,2128584;-1,5499987
5 Place de la République;Nantes;44200;47,2050713;-1,5552569
3 bis Allée Flesselles;Nantes;44000;47,2142592;-1,5546679
71 Boulevard Ernest Dalby;Nantes;44000;47,2229918;-1,5303481
87 Quai de la Fosse;Nantes;44000;47,2084805;-1,569586
30 Rue des Petites Écuries;Nantes;44000;47,2157421;-1,5524162
8 Rue Félibien;Nantes;44000;47,2209166;-1,5638352
45 Rue Léon Jamin;Nantes;44000;47,2198729;-1,5593308
6 Allée Duquesne;Nantes;44000;47,2174815;-1,5566425
6 Place Aristide Briand;Nantes;44000;47,2178183;-1,5634229
3 Rue de la Baclerie;Nantes;44000;47,2151052;-1,553333
44300;Nantes;44300;47,2599184;-1,53256
14 Rue Léon Blum;Nantes;44000;47,2192526;-1,5547418
6 Allée d'Erdre;Nantes;44000;47,219418;-1,5554994
3 Rue Albert Londres;Nantes;44300;47,246631;-1,5028571
23 Rue Saint-Léonard;Nantes;44000;47,2176126;-1,5556543
10 Rue des Trois Croissants;Nantes;44000;47,2165249;-1,5557873
89 Quai de la Fosse;Nantes;44100;47,208296;-1,5700082
62 Rue de la ville en Bois;Nantes;44100;47,2123802;-1,5785649
1 Rue Baron;Nantes;44000;47,2112572;-1,5473135
12 Rue Kléber;Nantes;44000;47,214434;-1,565993
22 Rue Armand Brossard;Nantes;44000;47,2178534;-1,5561778
"4 Rue de l'Emery";Nantes;44000;47,2158019;-1,5518048
10 Rue Léon Blum;Nantes;44000;47,2192287;-1,5549116
Avenue Francis Athimon;Nantes;44300;47,2540063;-1,5080518
6 Rue de la Juiverie;Nantes;44000;47,2157148;-1,5528696
7 Rue de la Juiverie;Nantes;44000;47,215591;-1,5528493
4 Allée Flesselles;Nantes;44000;47,214216;-1,5550209
20 Rue des Hauts Pavés;Nantes;44000;47,2230538;-1,5633898
2 Rue des Carmes;Nantes;44000;47,215839;-1,5548972
6 Rue Kervégan;Nantes;44000;47,2135143;-1,5541245
22 Rue Lamoricière;Nantes;44100;47,2143768;-1,5720446
18 Rue Jean Jaurès;Nantes;44000;47,2188013;-1,5612424
29 Rue Fouré;Nantes;44000;47,2116936;-1,5467363
7 Rue de la Clavurerie;Nantes;44000;47,2154543;-1,5570395
88 Quai de la Fosse;Nantes;44100;47,208367;-1,5697615
4 Rue de Briord;Nantes;44000;47,2165555;-1,5530317
32bis Rue Fouré;Nantes;44000;47,2120376;-1,5468496
4 Rue de la Juiverie;Nantes;44000;47,2157355;-1,5527627
14 cours Sully;Nantes;44000;0;0
69 Rue Paul Bellamy;Nantes;44000;0;0
10 boulevard de la prairie au duc;Nantes;44200;0;0
14, rue de Beauregard;Nantes;44000;47,21483172;-1,555439949
6 rue Jean Jacques Rousseau;Nantes;44000;0;0
6 Rue Jean Jacques Rousseau;Nantes;44000;47,2125753;-1,5599601
3 Rue Camille Berruyer;Nantes;44000;47,2156906;-1,5639086
12 rue jean jaures;Nantes;44000;0;0
26 bd de la prairie au duc;Nantes;44200;0;0
7 Rue bossuet;Nantes;44000;0;0
6, route de Vannes;Nantes;44000;47,23296659;-1,577669978
147 boulevard schuman;Nantes;44300;0;0
4, allée d'Erdre;Nantes;44000;47,21938;-1,55578
Place Graslin;Nantes;44000;0;0
Place Graslin;Nantes;44000;0;0
9 rue Jean Jaures;Nantes;44000;0;0
32, rue Léon Jamin;Nantes;44000;47,21945152;-1,559020042
1, rue du Château;Nantes;44000;47,21634;-1,55091
10, Rue Léon Blum;Nantes;44000;47,21928;-1,55493
12, rue Kleber;Nantes;44000;47,21459;-1,56628
69 Rue Paul Bellamy;Nantes;44000;47,2253106;-1,5595184
rue des hauts pavés;Nantes;44000;0;0
1, bis cours Olivier de Clisson;Nantes;44000;47,21293;-1,55413
9, place Louis Daubenton;Nantes;44100;47,20905835;-1,575279951
44, rue des Dervallières;Nantes;44100;47,22243876;-1,58265996
15 rue paul bellamy;Nantes;44000;0;0
6, rue Héronnière;Nantes;44000;47,21218351;-1,561859965
11 rue de l'heronnière;Nantes;44000;0;0
5, Rue du docteur Zamenhof;Nantes;44200;47,20389599;-1,535529971
3, rue Lekain;Nantes;44000;47,21429017;-1,562960029
2, rue du Marais;Nantes;44000;47,21802391;-1,555480003
23, rue Saint-Léonard;Nantes;44000;47,21754976;-1,555729985
5, rue Chateaubriand;Nantes;44000;47,22162525;-1,555089951
3, Rue Beausoleil;Nantes;44000;47,21721;-1,5528
2, Rue de la Bastille;Nantes;44000;47,21865;-1,56426
2, rue Santeuil;Nantes;44000;47,21245;-1,56026
4 allée flesselles;Nantes;44000;0;0
46 Rue des Hauts Pavés;Nantes;44000;47,2249543;-1,5653868
15, rue Jean Jacques Rousseau;Nantes;44000;47,21278;-1,56157
26 rue louis blanc;Nantes;44200;0;0
26 rue Louis Blanc;Nantes;44200;47,20582;-1,5548
20 rue du coudray;Nantes;44000;0;0
5, rue Beauregard;Nantes;44000;47,215;-1,55489
30, Quai Fernand Crouan;Nantes;44200;47,20739;-1,56483
lieu dit le saz;Nantes;44000;0;0
9, rue Jean Jaurès;Nantes;44000;47,21953;-1,55979
15, allée des Tanneurs;Nantes;44000;47,22034;-1,55549
11, rue de l'Hôtel de Ville;Nantes;44000;47,21763;-1,55599
6 rue des petites écuries;Nantes;44000;0;0
13, rue des Halles;Nantes;44000;47,21572;-1,55587
21, quai des Antilles;Nantes;44200;47,20205;-1,5719
5 rue de Colmar;Nantes;44000;0;0
3 rue de la Bastille;Nantes;44000;0;0
19 Rue de la Juiverie;Nantes;44000;47,2154297;-1,5534938
