id;ref address;query;query lon;query lat;result 1;result 2;result 3;result 4;result 5;
25;13 rue royale, annecy, france;royale;6.123;45.9;rue royale, annecy, france;royal pizza, avenue de la mandallaz, annecy, france;royal kids chassieu, rue du progrès, chassieu, france;royale, tremont street, boston, massachusetts, états-unis;royal hôtel grenoble, rue gabriel péri, grenoble, france;
26;4 chemin des pierres de moulin, le rouret, france;moulin;7.006;43.675;moulin d'opio, route de châteauneuf, opio, france;moulin de mougins, avenue notre dame de vie, mougins, france;le moulin d'honoré, route de nice, le rouret, france;moulin à huile d'olive nicolas alziari, rue saint-françois de paule, nice, france;le moulin de mougins, avenue notre dame de vie, mougins, france;
27;9 rue de crussol, paris, france;crussol;2.368;48.864;cité de crussol, france;rue de crussol, paris, france;château de crussol, chemin de beauregard, saint-péray, france;crussol festival, rue de la république, saint-péray, france;impasse crussol, lainville-en-vexin, france;
28;123 rue oberkampf, paris, france;oberkampf;2.379;48.866;oberkampf, paris, france;rue oberkampf, paris, france;oberkampf - hammam, rue oberkampf, paris, france;café oberkampf, rue neuve popincourt, paris, france;galerie oberkampf, rue saint-maur, paris, france;
29;42 rue des acacias, paris, france;acacias;2.293;48.877;hôtel acacias etoile ***, rue des acacias, paris, france;rue des acacias, paris, france;epicerie ouvert de nuit panier sympa alimentation acacias livraison paris étoile a domicile 24/24 24h 7/7 proximité dimanche tard, rue des acacias, paris, france;acacias primeurs, rue des acacias, paris, france;les acacias, rue de ponthieu, paris, france;
30;64 rue de gand, lille, france;gand;3.068;50.643;rue de gand, lille, france;au gand'brinus, rue de gand, lille, france;gand, belgique;gandhinagar, gujarat, inde;opticien grandoptical euralille, avenue willy brandt, lille, france;
31;484 avenue de la république, la roquette-sur-siagne, france;république;6.951;43.578;république dominicaine, undefined;république démocratique du congo, undefined;république tchèque, undefined;caisse d'epargne cannes republique, boulevard de la republique, cannes, france;république du congo, undefined;
32;ferme auberge de treh, markstein, kruth, france;markstein;6.966;47.931;le markstein, oderen, france;markstein, oderen, france;centre ecole du markstein - baptêmes et stages parapente, oderen, france;cumulus boutique stage parapente: baptême (vosges gerardmer markstein alsace), oderen, france;le markstein hütte avwg, ranspach, france;
33;6 rue de la salle, saint-germain-en-laye, france;salle;2.093;48.897;salle jacques tati, rue danes de montardat, saint-germain-en-laye, france;salle pleyel, rue du faubourg saint-honoré, paris, france;salle gaveau, rue la boétie, paris, france;salle du jeu de paume, rue du jeu de paume, versailles, france;salle malesherbes, avenue albine, maisons-laffitte, france;
34;10 rue chef de ville, la rochelle, france;ville;-1.154;46.158;hôtel de ville, place de l'hôtel de ville, la rochelle, france;villedoux, france;centre ville, la rochelle, france;la rochelle centre ville, rue paul garreau, la rochelle, france;ville de la rochelle, la rochelle, france;
36;125 route du verdon, arsac, france;verdon;-0.739;44.982;le verdon-sur-mer, france;gorges du verdon, france;verdon parc ****, chemin de la paludette, gréoux-les-bains, france;verdon karine, rue henri dheurle, la teste-de-buch, france;verdon, france;
37;15 rue de wattignies, paris, france;wattignies;2.393;48.837;wattignies hôtel, rue de wattignies, paris, france;rue de wattignies, paris, france;wattignies pressing, rue de wattignies, paris, france;wattignies - gravelle, paris, france;wattignies, france;
38;65 avenue paul vaillant couturier, arcueil, france;couturier;2.345;48.799;couturier didier, rue jeanne d'arc, paris, france;couturier stephanie, rue de charonne, paris, france;docteur christian couturier, avenue de ségur, paris, france;couturier - retouches, rue du clos, paris, france;couturier gérard, rue blaise-desgoffe, paris, france;
39;85 rue de la monnaie, lille, france;monnaie;3.062;50.642;moneygram, rue faidherbe, lille, france;rue de la monnaie, lille, france;comptoir des monnaies ancienne, rue esquermoise, lille, france;monnaie, paris, france;monnaie de paris - 11 conti, quai de conti, paris, france;
40;99 avenue de stalingrad, arles, france;stalingrad;4.637;43.691;avenue de stalingrad, arles, france;stalingrad - lamothe, lyon, france;stalingrad, paris, france;stalingrad, bordeaux, france;stalingrad (arrêt de montée), bordeaux, france;
41;1 rue de billancourt, boulogne-billancourt, france;billancourt;2.235;48.845;boulogne-billancourt, france;rue de billancourt, boulogne-billancourt, france;billancourt, boulogne-billancourt, france;billancourt–rives de seine, boulogne-billancourt, france;ecole primaire billancourt, rue de billancourt, boulogne-billancourt, france;
42;29, bd kennedy, cagnes-sur-mer, france;kennedy;7.152;43.651;studio kennedy, cagnes-sur-mer, france;kennedy coiffure, avenue sainte-marguerite, nice, france;boulevard j f kennedy, cagnes-sur-mer, france;pharmacie kennedy, boulevard j f kennedy, cagnes-sur-mer, france;kennedy, nîmes, france;
43;18, grande rue, marly-le-roi, france;rue;2.095;48.867;rueil-malmaison, france;rue de rivoli, france;rue de dunkerque, paris, france;rue du faubourg saint-honoré, paris, france;rue d'amsterdam, paris, france;
44;6 rue de la sourdière, paris, france;sourdière;2.332;48.865;sourdiere louvre vendome, rue de la sourdière, paris, france;rue de la sourdière, paris, france;nursery school sourdière, rue de la sourdière, paris, france;chemin de la sourdière à la prairie, bruyères-le-châtel, france;la sourdière, gémages, france;
45;95 boulevard longchamp, marseille, france;longchamp;5.391;43.303;longchamp palace, boulevard longchamp, marseille, france;maison de retraite longchamp marseille, rue bénédit, marseille, france;longchamp, marseille, france;longchamps pneu, rue espérandieu, marseille, france;cinq avenues longchamp, marseille, france;
46;zac les terrages, viry-noureuil, france;terrages;3.252;49.639;les terrages, viry-noureuil, france;zone d'aménagement concerté les terrages, viry-noureuil, france;les terrages, vassens, france;les terrages, prosnes, france;rue des terrages, bussy-lettrée, france;
47;17, rue roger bouvry, seclin, france;bouvry;3.029;50.549;bouvry baudy marie-josée, rue emile basly, béthune, france;bouvry-boissé virginie, rue des alouettes, montmorency, france;bouvry, saint-aubin-de-scellon, france;bouvry / charles, hameau du houilly, tournai, belgique;bouvry jean-marc, allée gabrielle dorziat, tinqueux, france;
48;72, quai de l'hôtel de ville, paris, france;ville;2.355;48.855;villejuif, france;villeneuve-la-garenne, france;villemomble, france;paris, france;hôtel-de-ville, rue de la tacherie, paris, france;
49;80 avenue gambetta, maisons-alfort, france;gambetta;2.444;48.81;gambetta, paris, france;le gambetta, rue de bagnolet, paris, france;gambetta mairie du 20e, paris, france;gambetta, ivry-sur-seine, france;gambetta - mairie du 20e, paris, france;
50;87 rue jean de la fontaine, sainte-savine, france;fontaine;4.045;48.299;fontainebleau, france;fontaine-les-grès, france;fontaine-fourches, france;fontaine-mâcon, france;fontaine-le-port, france;
51;39 rue saint-jean, laon, france;saint-jean;3.618;49.564;saint-jean-de-braye, france;saint-jean-aux-bois, france;saint-jean-de-la-ruelle, france;saint-jean-de-monts, france;saint-jean-sur-richelieu, qc, canada;
52;29, rue remparts d'ainay, lyon, france;d'ainay;4.831;45.753;place d'ainay, lyon, france;hôtel d'ainay, rue des remparts d'ainay, lyon, france;parc d'ainay, rue des remparts d'ainay, lyon, france;atelier d'ainay, rue vaubecour, lyon, france;boucherie d'ainay j.voisin, rue vaubecour, lyon, france;
53;524 chemin du praz, les contamines-montjoie, france;praz;6.724;45.802;praz-sur-arly, france;praz sur arly, route du val d'arly, praz-sur-arly, france;praz coûtant, passy, france;le praz de lys, taninges, france;praz de lys - le planey appartement 4/6 couchages, taninges, france;
54;allée loïc caradec, vannes, france;caradec;-2.762;47.636;allée loïc caradec, vannes, france;caradec, treffléan, france;caradec, guégon, france;caradec, saint-nolff, france;caradec joel, rue de men allen, la trinité-sur-mer, france;
55;13 rue lamartine, paris, france, paris, france;france;2.342;48.877;france, undefined;quai anatole france, paris, france;avenue anatole france, paris, france;rue anatole france, levallois-perret, france;avenue pierre mendès-france, paris, france;
56;10 place grenette, grenoble, france;grenette;5.727;45.191;cordonnerie grenette express, rue de sault, grenoble, france;place grenette, grenoble, france;grenette, châteauneuf-sur-isère, france;le grenette, rue grenette, lyon, france;rue de la grenette, chambéry, france;
57;2 avenue honoré serres, toulouse, france;serres;1.439;43.612;avenue honoré serres, toulouse, france;serres-castet, france;serres outils service, avenue de la gloire, toulouse, france;serres-sur-arget, france;serres de pécarrère, route du château d'eau, saint-génies-bellevue, france;
58;13 rue pierre bray, neuilly-sous-clermont, france;bray;2.429;49.349;bray-et-lû, france;bray-dunes, france;bray-sur-somme, france;bray-sur-seine, france;bray, county wicklow, irlande;
59;35 rue mauconseil, paris, france;mauconseil;2.347;48.864;rue mauconseil, paris, france;rue mauconseil, fontenay-sous-bois, france;rue mauconseil, gometz-le-châtel, france;place mauconseil, senlis, france;rue mauconseil, senlis, france;
60;11, rue de saint-julien, saint-julien-beychevelle, france;saint-julien;-0.741;45.165;saint-julien-beychevelle, france;le saint julien, rue de saint-julien, saint-julien-beychevelle, france;le relais de saint julien, rue de saint-julien, saint-julien-beychevelle, france;saint-julien winery, rue des tamaris, saint-julien-beychevelle, france;saint-julien-en-born, france;
61;1, rue de billancourt, boulogne-billancourt, france;billancourt;2.235;48.845;boulogne-billancourt, france;rue de billancourt, boulogne-billancourt, france;billancourt, boulogne-billancourt, france;billancourt–rives de seine, boulogne-billancourt, france;ecole primaire billancourt, rue de billancourt, boulogne-billancourt, france;
62;154 boulevard haussmann, paris, france;haussmann;2.311;48.876;haussmann - saint-lazare, paris, france;boulevard haussmann, paris, france;haussmann galeries lafayette / tafa traiteur asiatique, rue des mathurins, paris, france;haussmann berri, boulevard haussmann, paris, france;hôtel haussmann saint augustin, rue roquépine, paris, france;
63;121 rue de vaugirard, paris, france;vaugirard;2.319;48.845;rue de vaugirard, paris, france;vaugirard, paris, france;boulevard de vaugirard, paris, france;nails vaugirard, rue de vaugirard, paris, france;marché vaugirard, boulevard de vaugirard, paris, france;
64;39, rue saint jean, lyon, france;jean;4.827;45.761;jeannine & suzanne, rue sainte-hélène, lyon, france;jean-macé, lyon, france;jean mace demenagements, quai jules courmont, lyon, france;jean macé, lyon, france;jean louis david - coiffeur lyon, place ampère, lyon, france;
65;3, rue jean-pierre timbaud, montigny-le-bretonneux, france;timbaud;2.037;48.792;timbaud, gennevilliers, france;rue jean pierre timbaud, montigny-le-bretonneux, france;auto-ecole timbaud, rue pierre timbaud, gennevilliers, france;timbaud - felicie, gennevilliers, france;rue jean-pierre timbaud, france;
66;7 avenue gambetta, paris, france;gambetta;2.389;48.864;gambetta, paris, france;gambetta - mairie du 20e, paris, france;gambetta mairie du 20e, paris, france;veterinary clinic gambetta paris 20, rue des pyrénées, paris, france;cmg gambetta, rue de la bidassoa, paris, france;
67;chemin des planchettes, pierrelatte, france;planchettes;4.713;44.361;chemin des planchettes, pierrelatte, france;planchettes, saint-paul-trois-châteaux, france;hôtel-restaurant les planchettes, rue des planchettes, saint-flour, france;les planchettes, suisse;rue des planchettes, saint-flour, france;
68;4, rue eugène giraud, valbonne, france;giraud;7.009;43.641;giraud amandine marie, chemin du taméyé, opio, france;impasse de la giraudière, valbonne, france;giraud-gies martine, avenue des pugets, saint-laurent-du-var, france;giraudo frederic ferronnerie, chemin de la romaine, biot, france;giraud christian, rue des combattants en afrique du nord, nice, france;
69;31 avenue de la bourdonnais, paris, france;bourdonnais;2.299;48.859;avenue de la bourdonnais, paris, france;port de la bourdonnais, paris, france;bourdonnais primeur, avenue de la bourdonnais, paris, france;studio bourdonnais, avenue de la bourdonnais, paris, france;bourdonnais fanny, route de saint-aubin, villiers-le-bâcle, france;
70;120, rue saint-maur, paris, france;saint-maur;2.376;48.867;saint-maur-des-fossés, france;saint-maurice, france;saint-maur - jean aicard, paris, france;saint-maur - créteil, saint-maur-des-fossés, france;boulangerie saint-maur, rue saint-maur, paris, france;
71;rue du 8 mai 1945, mantes-la-ville, france;1945;1.719;48.976;1945 stratford road, hockley heath, solihull, royaume-uni;1945 massachusetts avenue, cambridge, massachusetts, états-unis;1945 madison avenue, new york, état de new york, états-unis;1945 7th avenue, new york, état de new york, états-unis;1945 3rd avenue, new york, état de new york, états-unis;
72;70 bis, boulevard auguste blanqui, paris, france;blanqui;2.348;48.83;boulevard auguste blanqui, paris, france;tabac blanqui, boulevard auguste blanqui, paris, france;blanqui, boulevard auguste blanqui, paris, france;blanqui alimentation, boulevard auguste blanqui, paris, france;librairie blanqui 13, boulevard auguste blanqui, paris, france;
73;188 grand rue, poitiers, france;rue;0.345;46.583;rue gambetta, poitiers, france;rue sadi carnot, poitiers, france;rue jean-jaurès, poitiers, france;rue de la marne, poitiers, france;rue henri pétonnet, poitiers, france;
74;41 avenue du général de gaulle, saint-mandé, france;gaulle;2.418;48.842;avenue du général de gaulle, saint-mandé, france;charles de gaulle étoile, paris, france;de gaulle louis, rue boissy d'anglas, paris, france;pont charles de gaulle, paris, france;place charles de gaulle, paris, france;
75;21 rue du maréchal de lattre de tassigny, arcachon, france;tassigny;-1.173;44.661;tassigny, bordeaux, france;tassigny, mérignac, france;le tassigny, avenue du maréchal de lattre de tassigny, bordeaux, france;pharmacie de tassigny, avenue du maréchal de lattre de tassigny, bordeaux, france;le tassigny, avenue maréchal de lattre de tassigny, bègles, france;
76;2, boulevard des écoles, bailly-romainvilliers, france;écoles;2.819;48.85;boulevard des écoles, bailly-romainvilliers, france;ecoles primaires severine, avenue anatole france, villeparisis, france;les ecoles 21, rue des écoles, paris, france;école nationale vétérinaire d'alfort, avenue du général de gaulle, maisons-alfort, france;mines paristech, boulevard saint-michel, paris, france;
77;30, quai fernand crouan, nantes, france;crouan;-1.565;47.207;crouan, rue sourdeac, nantes, france;crouan jérôme, rue de la ville en bois, nantes, france;crouan benedicte, nantes, france;crouan patricia, grande rue, sartilly, france;crouan bernard, route de kergoat, quéménéven, france;
78;3 rue sainte-beuve, paris, france;sainte-beuve;2.33;48.844;hôtel sainte-beuve, rue sainte-beuve, paris, france;rue sainte-beuve, paris, france;sainte-beuve-en-rivière, france;sainte beuve catherine, rue las cases, paris, france;sainte beuve dominique, rue de paris, saint-brice-sous-forêt, france;
79;rue camille flammarion, carcassonne, france;flammarion;2.387;43.209;flammarion siphon, marseille, france;flammarion isoard, marseille, france;camille flammarion, marseille, france;flammarion cassini, marseille, france;pharmacie flammarion, boulevard camille flammarion, marseille, france;
80;137 rue saint-dominique, paris, france;saint-dominique;2.302;48.858;hôtel saint dominique, rue saint-dominique, paris, france;ecole saint dominique, rue saint-dominique, paris, france;bistro saint dominique, rue saint-dominique, paris, france;nicolas saint dominique, rue saint-dominique, paris, france;saint dominique souvenirs, rue saint-dominique, paris, france;
81;68 avenue gambetta, paris, france, paris, france;france;2.402;48.869;france, undefined;quai anatole france, paris, france;avenue anatole france, paris, france;rue anatole france, levallois-perret, france;avenue pierre mendès-france, paris, france;
82;38 rue principale, heiligenstein, france;principale;7.45;48.423;rue principale, heiligenstein, france;rue principale, gertwiller, france;rue principale, goxwiller, france;rue principale, mittelbergheim, france;rue principale, bourgheim, france;
83;55 rue du château d'eau, paris, france;eau;2.355;48.872;39 place d'occitanie, eaunes, france;39 county highway d, eau claire, wisconsin, états-unis;39 county road d, fall creek, eau claire, wisconsin, états-unis;39 county highway d, fall creek, eau claire, wisconsin, états-unis;39 d road east, mondovi, wisconsin, états-unis;
84;5, rue lazare-carnot, sète, france;lazare-carnot;3.698;43.403;rue lazare carnot, sète, france;rue lazare carnot, poussan, france;lazare-carnot, châtillon, france;lazare-carnot, clamart, france;avenue lazare carnot, toulon, france;
85;44 rue des tournelles, paris, france;tournelles;2.367;48.856;synagogue des tournelles, rue des tournelles, paris, france;tournelles - saint-gilles, paris, france;tournelles loft, paris, france;rue des tournelles, paris, france;les tournelles, rue de turenne, paris, france;
86;17, rue du choiseul, paris, france;choiseul;2.336;48.87;choiseul, paris, france;hôtel choiseul opéra, rue daunou, paris, france;atelier choiseul, rue sainte-anne, paris, france;nicolas choiseul, rue de choiseul, paris, france;galerie choiseul, rue de choiseul, paris, france;
87;9, rue saint augustin, paris, france;augustin;2.337;48.869;augustinus bader, galerie de beaujolais, paris, france;docngo espace paris 08 malesherbes saint augustin, boulevard malesherbes, paris, france;augustin, place richard baret, paris, france;immobilière st augustin-marsollier, rue marsollier, paris, france;bagnard augustin, rue saint-augustin, paris, france;
88;7 rue de jarente, paris, france;jarente;2.363;48.856;rue de jarente, paris, france;rue jarente, lyon, france;chemin des jarentes, morancé, france;rue jarente, chazay-d'azergues, france;;
89;27 rue racine, le havre, france;racine;0.106;49.49;racine cubik, rue des sauveteurs, le havre, france;racine, wisconsin, états-unis;racines, passage des panoramas, paris, france;rue racine, le havre, france;racines des prés, rue de gribeauval, paris, france;
90;134 espl. le cours, vinon-sur-verdon, france;cours;5.812;43.726;cours mirabeau, aix-en-provence, france;cours gambetta, aix-en-provence, france;cours julien, marseille, france;cours sextius, aix-en-provence, france;cours belsunce, marseille, france;
91;14 place du grand jardin, vence, france;jardin;7.114;43.722;jardin des muses, avenue colonel meyere, vence, france;jardin albert 1er, avenue de verdun, nice, france;jardinerie villaverde antibes, chemin des combes, antibes, france;jardin de l'olivaie, rue jean bracco, beaulieu-sur-mer, france;jardin botanique de nice, corniche fleurie, nice, france;
92;33, rue de la plaine des bouchers, strasbourg, france;bouchers;7.737;48.569;la boucherie strasbourg, strasbourg, france;rue des bouchers, strasbourg, france;la boucherie hagueneau, chemin de la sandlach, haguenau, france;la boucherie colmar, rue des métiers, colmar, france;rue des bouchers, lampertheim, france;
93;16 le bourg, lurcy, france;bourg;4.782;46.063;bourg-en-bresse, france;bourgoin-jallieu, france;bourg-lès-valence, france;bourg-saint-maurice, france;bourges, france;
94;4, rue des faussets, bordeaux, france;faussets;-0.57;44.841;appartement faussets, bordeaux, france;rue des faussets, bordeaux, france;;;;
95;11 avenue des minimes, toulouse, france;minimes;1.437;43.617;minimes, toulouse, france;minimes-claude nougaro, toulouse, france;football club minimes, rue de negreneys, toulouse, france;avenue des minimes, toulouse, france;boulevard des minimes, toulouse, france;
96;36, rue de strasbourg, chalon-sur-saône, france;strasbourg;4.86;46.78;strasbourg, france;rue de strasbourg, chalon-sur-saône, france;strasbourg - saint-denis, paris, france;gare de strasbourg, place de la gare, strasbourg, france;strasbourg gare (boulevard de metz), boulevard de metz, strasbourg, france;
97;21 rue du grand pont, rochefort-du-gard, france;pont;4.688;43.974;pont d'avignon, boulevard de la ligne, avignon, france;pont-saint-esprit, france;pont du gard, route du pont du gard, vers-pont-du-gard, france;pont de l'europe, avignon, france;pont saint-bénézet, avignon, france;
98;30, patio des reflets, courbevoie, france;reflets;2.248;48.89;place des reflets, courbevoie, france;reflets de scène, rue de beaujolais, paris, france;reflets, avenue d'argenteuil, asnières-sur-seine, france;les reflets du liban, rue brantôme, paris, france;parking reflets 1-accès piétons, place des reflets, courbevoie, france;
99;rue kléber, auch, france;kléber;0.589;43.65;rue kléber, auch, france;kléber, biarritz, france;kléber, avenue kléber, paris, france;kin'ost - anne ferdinand - kine osteo biarritz kleber, biarritz, france;kléber ? un général de napolíon, rue kléber, bordeaux, france;
100;16, boulevard victor hugo, saint-rémy-de-provence, france;hugo;4.832;43.787;hugo boss, miramas, france;hugo, oklahoma, états-unis;hugouvieux goret josette, cours du mas du beuil, saint-rémy-de-provence, france;hugoton, kansas, états-unis;hugo boss, avenue pierre semard, avignon, france;
101;14 rue sauval, paris, france;sauval;2.343;48.862;rue sauval, paris, france;sauvalle hervé, rue marie et louise, paris, france;sauvalle béatrice, rue michel ange, paris, france;sauvale compagnie, boulevard de la république, saint-cloud, france;sauval t.p., rue principale, piennes-onvillers, france;
102;60, rue armand caduc, la réole, france;caduc;-0.039;44.582;caduc, moulon, france;caduc-ouest, moulon, france;rue armand caduc, bordeaux, france;caduceum - toulouse, rue alain fournier, toulouse, france;résidence le caducée, chemin du vallon, toulouse, france;
103;16 rue jean-jacques rousseau, paris, france;rousseau;2.341;48.863;rousseau à paris (showroom), rue des jeuneurs, paris, france;rousseau event traiteur, rue de la paix, paris, france;rue jean-jacques rousseau, paris, france;sapeurs pompiers - centre de secours rousseau, rue du jour, paris, france;christine reinke-rousseau archit sarl, rue jean-jacques rousseau, paris, france;
104;19, avenue de narbonne, saint-laurent-de-la-cabrerisse, france;narbonne;2.7;43.085;narbonne, france;narbonne escrime club, rue turenne, narbonne, france;electricien narbonne, boulevard maréchal joffre, narbonne, france;studio d'enregistrement narbonne, rue de l'étoile, narbonne, france;avocats narbonne, boulevard docteur ferroul, narbonne, france;
105;8 rue abel hovelacque, paris, france;hovelacque;2.353;48.833;rue abel hovelacque, paris, france;hovelacque pierre, boulevard de la gare, quimperlé, france;hovelacque annick, vaumas, france;rue hovelacque, lille, france;;
106;8, rue tiphaine, paris, france;tiphaine;2.295;48.849;tiphaine boutique, rue tiphaine, paris, france;tiphaine - nails, rue tiphaine, paris, france;rue tiphaine, france;tiphaine commereuc, rue la boétie, paris, france;tiphaine corvez chocolatière, rue la boissière, fontenay-aux-roses, france;
107;2 rue eugène carrière, paris, france;carrière;2.332;48.889;carrières-sur-seine, france;carrières, carrières-sur-seine, france;carrières-juridiques.com, avenue de la grande-armée, paris, france;carrières-sous-poissy, france;carriere denis, rue cardinet, paris, france;
108;1 rue orsel, oullins, france;orsel;4.81;45.716;rue orsel, oullins, france;orelle, france;orselina, suisse;orellana la vieja, espagne;orelle sports 3000, francoz, orelle, france;
109;95 cours du général leclerc, langon, france;leclerc;-0.247;44.553;cours du général leclerc, langon, france;e.leclerc langon, langon, france;e.leclerc, rue pacaris, talence, france;e.leclerc sports, moléon park, langon, france;leclerc léognan blenan sas, avenue de bordeaux, léognan, france;
110;6 bis allée des muletiers, mordelles, france;muletiers;-1.852;48.072;allée des muletiers, mordelles, france;chemin des muletiers, liré, france;chemin des muletiers, la barre-de-monts, france;chemin des muletiers, turquant, france;rue des muletiers, écretteville-lès-baons, france;
